1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,Data de Referência,,,,,,,,,,,,,
,2024-11-07 00:00:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
MERCADO SECUNDÁRIO DE DEBÊNTURES,,,,,,,,,,,,,,
Títulos Privados - DEBÊNTURES,,,IPCA + SPREAD,,,,,,,2024-11-07 00:00:00,,,,
Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo,,PU,% Pu Par,Duration,% Reune,Referência NTN-B
,,,,,,,,Min.,Máx.,,,,,
EQTR11,EQUATORIAL TRANSMISSORA 8 SPE S.A.,15/04/2039,"IPCA + 4,85%",7.4357,7.0709,7.2693,0.0721,7.1972,7.3415,1129.23291,84.7249,1778.27,,15/05/2033
EQTR21,EQUATORIAL TRANSMISSORA 8 SPE S.A.,15/04/2039,"IPCA + 4,85%",7.4811,7.0865,7.2878,0.0624,7.2255,7.3503,1127.859888,84.6219,1777.47,,15/05/2033
EQTS11,EQUATORIAL TRANSMISSORA 1 SPE S.A,15/01/2033,"IPCA + 4,85%",7.2675,6.9029,7.0732,0.1865,6.8866,7.2598,1134.272526,92.4545,927.02,,15/05/2029
EQUA11,EQUATORIAL TRANSMISSAO S.A (*),15/03/2036,"IPCA + 4,9173%",7.1075,6.708,6.9042,0.1506,6.7536,7.0548,1143.582073,91.4339,1177.38,0.1,15/08/2030
ERDV17,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,15/06/2025,"IPCA + 7,4438%",6.6573,5.7321,6.2263,0.5724,5.6539,6.7988,725.370872,100.6715,148,,15/05/2025
ERDV36,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,15/11/2024,IPCA + 6%,--,--,6.0495,0.2203,5.8292,6.2699,760.086949,99.9989,6,,
ERDV38,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,15/04/2026,"IPCA + 5,5031%",--,--,6.3151,0.0794,6.2357,6.3946,1381.879255,99.3157,225.45,,15/05/2025
ERDVA4,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),15/06/2031,"IPCA + 6,8233%",7.2033,6.8528,6.9976,0.1345,6.8631,7.1322,1029.660722,99.1453,1325.88,,15/08/2030
ERDVB4,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),15/06/2034,"IPCA + 7,1117%",7.3244,6.9888,7.1384,0.1009,7.0374,7.2394,1037.926336,99.8407,1611.17,,15/05/2033
ERDVC3,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),15/10/2033,"IPCA + 6,8285%",7.3202,6.8035,7.1536,0.3968,6.7568,7.5506,1031.874725,98.1344,1559.29,,15/08/2032
ERDVC4,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*),15/06/2039,"IPCA + 7,3108%",7.4829,7.0831,7.2492,0.1012,7.148,7.3504,1045.469739,100.4967,2176.33,,15/05/2035
ESAM14,EMPRESA DE ENERGIA SÃO MANOEL S/A,15/06/2033,"IPCA + 7,3129%",7.1119,6.8034,6.9814,0.2876,6.6938,7.2691,908.54213,101.157,939.45,,15/05/2029
ESULA1,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,15/09/2025,"IPCA + 5,0797%",5.857,5.2852,5.4487,0.2729,5.1758,5.7217,462.674672,99.7097,208.95,0.1,15/05/2025
ESULA6,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,15/10/2031,"IPCA + 6,0872%",7.1055,6.8171,6.9575,0.095,6.8625,7.0525,1132.078847,95.9965,1257.05,,15/08/2030
ETAP22,ETAP EMPRESA TRANSMISSORA AGRESTE POTIGUAR S.A. (*) (**),15/09/2025,"IPCA + 6,1675%",5.6084,4.9135,5.1948,0.252,4.9428,5.447,705.995749,100.7639,208.35,,15/05/2025
ETBA12,ETB - EMPRESA DE TRANSMISSAO BAIANA S.A. (*) (**),15/02/2029,"IPCA + 5,3382%",7.0196,6.6289,6.8185,0.2055,6.6129,7.0241,1232.812796,95.9977,733.98,,15/08/2028
ETEN11,ENERGISA TRANSMISSAO DE ENERGIA S.A,15/12/2025,"IPCA + 4,9238%",5.9399,5.2723,5.3559,0.6553,4.7005,6.0113,1399.945842,99.5654,267.02,,15/05/2025
ETEN12,ENERGISA TRANSMISSAO DE ENERGIA S.A,15/10/2027,"IPCA + 4,2297%",7.1599,6.9332,7.0293,0.1288,6.9005,7.1582,1210.483529,92.9416,695.07,,15/05/2027
ETEN21,ENERGISA TRANSMISSAO DE ENERGIA S.A,15/12/2028,"IPCA + 5,141%",7.0013,6.5577,6.7399,0.1318,6.6081,6.8719,1348.861807,95.8513,705.51,,15/05/2027
ETEN22,ENERGISA TRANSMISSAO DE ENERGIA S.A,15/10/2030,"IPCA + 4,4744%",7.044,6.6655,6.8381,0.1694,6.6686,7.0076,1180.194875,90.6016,1106.62,,15/08/2030
ETEN31,ENERGISA TRANSMISSAO DE ENERGIA S.A,15/12/2025,"IPCA + 4,9761%",5.9183,5.2557,5.5692,0.3716,5.1976,5.9409,1431.874239,99.4114,264.03,,15/05/2025
ETSP12,EQUATORIAL TRANSMISSORA 7 SPE S.A.,15/04/2039,"IPCA + 4,85%",7.6084,7.088,7.3783,0.1015,7.2768,7.4799,1121.179402,84.1207,1773.58,,15/05/2033
EUBE11,ENGIE SOLUCOES CIDADES INTELIGENTES E INFRAESTRUTURA DE UBERLANDIA S.A (*),15/01/2034,"IPCA + 6,4449%",6.9739,6.5649,6.7774,0.1232,6.6542,6.9006,954.796744,98.7283,1031.18,,15/05/2029
EXTZ11,EXTREMOZ TRANSMISSORA DO NORDESTE ETN S.A. (*) (**),15/01/2029,"IPCA + 7,0291%",7.0501,6.6108,6.789,0.1619,6.6271,6.9509,761.690409,100.5255,588.57,,15/05/2027
FBRI13,FIBRASIL INFRAESTRUTURA FIBRA OTICA S.A. (*),15/04/2034,"IPCA + 7,3609%",7.7131,7.4575,7.5633,0.1547,7.4085,7.7181,1013.277711,98.919,1452.63,,15/08/2032
FGEN13,FERREIRA GOMES ENERGIA S/A,15/12/2027,"IPCA + 6,4686%",6.8793,6.3494,6.6322,0.222,6.4102,6.8543,1091.613736,99.7744,370.53,,15/08/2026
FLCLA0,ENERGISA M.GERAIS DITRIB.DE ENERGIA S/A,15/09/2025,"IPCA + 5,0797%",5.6691,5.174,5.3072,0.3076,4.9996,5.6149,463.190124,99.8208,208.96,,15/05/2025
FRAG14,FERRARI AGROINDUSTRIA S/A (*),15/06/2031,"IPCA + 7,53%",7.9278,7.4121,7.7044,0.0629,7.6415,7.7674,1034.111356,99.2191,1218.21,,15/08/2030
FURN21,FURNAS CENTRAIS ELETRICAS S/A,15/11/2029,"IPCA + 4,08%",7.0537,6.6512,6.875,0.132,6.743,7.0071,1242.082253,92.4437,741.78,0.05,15/08/2028
GASC15,RUMO MALHA PAULISTA S/A (*) (**),15/03/2034,"IPCA + 5,797%",6.9141,6.6845,6.8079,0.0588,6.7491,6.8669,964.009694,93.3524,1812.05,,15/05/2035
GASC16,RUMO MALHA PAULISTA S/A (*),15/06/2034,"IPCA + 6,4186%",6.9541,6.7332,6.8224,0.0856,6.7368,6.9082,1010.199534,97.3407,1788.36,0.05,15/05/2035
GASC17,RUMO MALHA PAULISTA S/A (*),15/08/2036,"IPCA + 6,047%",6.949,6.6685,6.7892,0.0664,6.7229,6.8557,963.650292,94.4583,2047.02,,15/05/2035
